Trait,# lines measured,Sex,Life_stage,Trait guild,Trait description,Reference
"1,2-dipalmitoyl-GPC (16:0_16:0).f",40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dipalmitoyl-GPC (16:0_16:0).m",40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0_18:2).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0_18:2).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0_18:2).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0_18:1).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0_18:1).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0_18:1).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0_18:1).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0_16:1).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-GPE (P-16:0).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-palmitoyl)-GPE (P-16:0).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0_18:2).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0_18:2).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0_18:1).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0_18:1).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-stearoyl)-GPE (P-18:0).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-(1-enyl-stearoyl)-GPE (P-18:0).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-Methyladenosine.high.yeast.f,178,Female,Adult,Metabolome,Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1-Methyladenosine.low.yeast.f,178,Female,Adult,Metabolome,Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1-Methylguanosine.high.yeast.f,178,Female,Adult,Metabolome,Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1-Methylguanosine.low.yeast.f,178,Female,Adult,Metabolome,Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1-kestose.f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-kestose.m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linolenoyl-GPC (18:3).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linolenoyl-GPC (18:3).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-2-linolenoyl-GPC (18:2_18:3).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-2-linolenoyl-GPC (18:2_18:3).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2_18:3).f,40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2_18:3).m,40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
